,ISO-3166-1,ISO-3166-2,Fips,GN,Geoname ID,Name of Subdivision,Wikipedia,Type ID,Type,Geoname ID of Capital,Capital,Population,lang,continent,From,Till
0,AD,02,02,02,3041203.0,Canillo,http://en.wikipedia.org/wiki/Canillo,1.0,parish,3041204.0,Canillo,5067.0,ca,EU,,
1,AD,03,03,03,3040684.0,Encamp,http://en.wikipedia.org/wiki/Encamp,1.0,parish,3040686.0,Encamp,13685.0,ca,EU,,
2,AD,04,04,04,3040131.0,La Massana,http://en.wikipedia.org/wiki/La_Massana,1.0,parish,3040132.0,la Massana,8953.0,ca,EU,,
3,AD,05,05,05,3039676.0,Ordino,http://en.wikipedia.org/wiki/Ordino,1.0,parish,3039678.0,Ordino,3467.0,ca,EU,,
4,AD,06,06,06,3039162.0,Sant Julia de Lòria,http://en.wikipedia.org/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria,1.0,parish,3039163.0,Sant Julià de Lòria,9448.0,ca,EU,,
5,AD,07,07,07,3041566.0,Andorra la Vella,http://en.wikipedia.org/wiki/Andorra_la_Vella,1.0,parish,3041563.0,Andorra la Vella,24211.0,ca,EU,,
6,AD,08,08,08,3338529.0,Escaldes-Engordany,http://en.wikipedia.org/wiki/Escaldes-Engordany,1.0,parish,3040051.0,les Escaldes,16391.0,ca,EU,,
7,AE,AJ,02,02,292933.0,'Ajman,http://en.wikipedia.org/wiki/Ajman,2.0,emirate,292932.0,`Ajmān,234905.0,ar,AS,,
8,AE,AZ,01,01,292969.0,Abu Zaby,http://en.wikipedia.org/wiki/Abu_Dhabi_%28emirate%29,2.0,emirate,292968.0,Abu Dhabi,1395899.0,ar,AS,,
9,AE,DU,03,03,292224.0,Dubayy,http://en.wikipedia.org/wiki/Dubai,2.0,emirate,292223.0,Dubai,1141963.0,ar,AS,,
10,AE,FU,04,04,292879.0,Al Fujayrah,http://en.wikipedia.org/wiki/Fujairah,2.0,emirate,292878.0,Al Fujayrah,113316.0,ar,AS,,
