,Sno,Country/Territory,UN Region,Bank,Ammount,Year
0,1,Monaco,Europe,IMF,0,0
1,1,Monaco,Europe,World Bank,234316,2021
2,1,Monaco,Europe,United Nations,234317,2021
3,2,Liechtenstein,Europe,IMF,0,0
4,2,Liechtenstein,Europe,World Bank,157755,2020
5,2,Liechtenstein,Europe,United Nations,169260,2020
6,3,Luxembourg,Europe,IMF,132372,2023
7,3,Luxembourg,Europe,World Bank,133590,2021
8,3,Luxembourg,Europe,United Nations,133745,2021
9,4,Ireland,Europe,IMF,114581,2023
10,4,Ireland,Europe,World Bank,100172,2021
11,4,Ireland,Europe,United Nations,101109,2021
12,5,Bermuda,Americas,IMF,0,0
13,5,Bermuda,Americas,World Bank,114090,2021
14,5,Bermuda,Americas,United Nations,112653,2021
15,6,Norway,Europe,IMF,101103,2023
16,6,Norway,Europe,World Bank,89154,2021
17,6,Norway,Europe,United Nations,89242,2021
18,7,Switzerland,Europe,IMF,98767,2023
19,7,Switzerland,Europe,World Bank,91992,2021
20,7,Switzerland,Europe,United Nations,93525,2021
21,8,Singapore,Asia,IMF,91100,2023
22,8,Singapore,Asia,World Bank,72794,2021
23,8,Singapore,Asia,United Nations,66822,2021
24,9,Isle of Man,Europe,IMF,0,0
25,9,Isle of Man,Europe,World Bank,87158,2019
26,9,Isle of Man,Europe,United Nations,0,2019
27,10,Cayman Islands,Americas,IMF,0,0
28,10,Cayman Islands,Americas,World Bank,86569,2021
29,10,Cayman Islands,Americas,United Nations,85250,2021
30,11,Qatar,Asia,IMF,83891,2023
31,11,Qatar,Asia,World Bank,66838,2021
32,11,Qatar,Asia,United Nations,66799,2021
33,12,United States,Americas,IMF,80034,2023
34,12,United States,Americas,World Bank,70249,2021
35,12,United States,Americas,United Nations,69185,2021
36,13,Iceland,Europe,IMF,75180,2023
37,13,Iceland,Europe,World Bank,68728,2021
38,13,Iceland,Europe,United Nations,69133,2021
39,14,Channel Islands,Europe,IMF,0,0
40,14,Channel Islands,Europe,World Bank,75153,2007
