date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:05	52008/52008	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:17%20GMT	https://templates.envytheme.com/sinmun/default/index-7.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-7.html	(from )
14:12:05	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Apr%202023%2008:42:05%20GMT	https://templates.envytheme.com/robots.txt		(from )
14:12:06	155804/155804	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08491-2609c%22	https://templates.envytheme.com/sinmun/default/assets/css/bootstrap.min.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:06	71733/71733	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08491-11835%22	https://templates.envytheme.com/sinmun/default/assets/css/animate.min.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/animate.min.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:06	92040/92040	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08492-16788%22	https://templates.envytheme.com/sinmun/default/assets/css/icofont.min.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/icofont.min.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:06	2113/2113	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08492-841%22	https://templates.envytheme.com/sinmun/default/assets/css/meanmenu.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:07	4380/4380	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08492-111c%22	https://templates.envytheme.com/sinmun/default/assets/css/owl.carousel.min.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:07	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08492-148b%22	https://templates.envytheme.com/sinmun/default/assets/css/magnific-popup.min.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:07	119395/119395	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08493-1d263%22	https://templates.envytheme.com/sinmun/default/assets/css/style.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/style.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:08	8731/8731	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08491-221b%22	https://templates.envytheme.com/sinmun/default/assets/css/dark.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/dark.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:08	23750/23750	---MCZ	200	added ('OK')	text/css	etag:W/%2262a08493-5cc6%22	https://templates.envytheme.com/sinmun/default/assets/css/responsive.css	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/css/responsive.css	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:08	7884/7884	---M--	200	added ('OK')	image/png	etag:%2262a0849f-1ecc%22	https://templates.envytheme.com/sinmun/default/assets/img/favicon.png	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/favicon.png	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:08	6351/6351	---M--	200	added ('OK')	image/png	etag:%2262a0849f-18cf%22	https://templates.envytheme.com/sinmun/default/assets/img/logo.png	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/logo.png	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:09	73328/73328	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:17%20GMT	https://templates.envytheme.com/sinmun/default/index.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:09	78537/78537	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:16%20GMT	https://templates.envytheme.com/sinmun/default/index-2.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-2.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:09	80393/80393	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:16%20GMT	https://templates.envytheme.com/sinmun/default/index-3.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-3.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:09	62590/62590	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:16%20GMT	https://templates.envytheme.com/sinmun/default/index-4.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-4.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:09	69830/69830	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:17%20GMT	https://templates.envytheme.com/sinmun/default/index-5.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-5.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:10	77275/77275	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:17%20GMT	https://templates.envytheme.com/sinmun/default/index-6.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/index-6.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:10	42524/42524	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-2.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-2.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:10	49609/49609	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-1.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-1.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:10	47267/47267	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-5.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-5.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:10	46695/46695	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-3.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-3.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:11	48810/48810	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-4.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-4.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:11	53642/53642	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:18%20GMT	https://templates.envytheme.com/sinmun/default/post-category-6.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/post-category-6.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:11	44522/44522	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:19%20GMT	https://templates.envytheme.com/sinmun/default/single-post-1.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/single-post-1.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:11	44630/44630	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:19%20GMT	https://templates.envytheme.com/sinmun/default/single-post-2.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/single-post-2.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:12	37954/37954	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:19%20GMT	https://templates.envytheme.com/sinmun/default/single-post-3.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/single-post-3.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:12	44355/44355	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:20%20GMT	https://templates.envytheme.com/sinmun/default/single-post-4.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/single-post-4.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:12	29148/29148	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:16%20GMT	https://templates.envytheme.com/sinmun/default/gallery-1.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/gallery-1.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:12	27979/27979	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:16%20GMT	https://templates.envytheme.com/sinmun/default/gallery-2.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/gallery-2.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:12	39292/39292	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:15%20GMT	https://templates.envytheme.com/sinmun/default/author.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/author.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:13	24727/24727	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:15%20GMT	https://templates.envytheme.com/sinmun/default/contact.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/contact.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:13	4648/4648	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:17%20GMT	https://templates.envytheme.com/sinmun/default/login.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/login.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:13	4757/4757	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:19%20GMT	https://templates.envytheme.com/sinmun/default/signup.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/signup.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:13	3153/3153	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:15%20GMT	https://templates.envytheme.com/sinmun/default/404-error.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/404-error.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:13	4016/4016	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2011:14:15%20GMT	https://templates.envytheme.com/sinmun/default/coming-soon.html	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/coming-soon.html	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:14	183925/183925	---M--	200	added ('OK')	image/jpeg	etag:%2262a084ba-2f70a%22	https://templates.envytheme.com/sinmun/default/assets/img/blog-home-image/5.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/blog-home-image/5.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:14	116569/116569	---M--	200	added ('OK')	image/jpeg	etag:%2262a084bb-1e09d%22	https://templates.envytheme.com/sinmun/default/assets/img/blog-home-image/6.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/blog-home-image/6.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:14	146251/146251	---M--	200	added ('OK')	image/jpeg	etag:%2262a084bb-2462e%22	https://templates.envytheme.com/sinmun/default/assets/img/blog-home-image/7.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/blog-home-image/7.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:14	297836/297836	---M--	200	added ('OK')	image/jpeg	etag:%2262a084ba-4df1b%22	https://templates.envytheme.com/sinmun/default/assets/img/blog-home-image/3.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/blog-home-image/3.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:14	62889/62889	---M--	200	added ('OK')	image/jpeg	etag:%2262a0849e-ffa8%22	https://templates.envytheme.com/sinmun/default/assets/img/blogger.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/blogger.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:15	182874/182874	---M--	200	added ('OK')	image/jpeg	etag:%2262a0849d-2efb6%22	https://templates.envytheme.com/sinmun/default/assets/img/9.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/9.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:15	167491/167491	---M--	200	added ('OK')	image/jpeg	etag:%2262a08498-2b245%22	https://templates.envytheme.com/sinmun/default/assets/img/10.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/10.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:15	171154/171154	---M--	200	added ('OK')	image/jpeg	etag:%2262a08498-2b7b3%22	https://templates.envytheme.com/sinmun/default/assets/img/11.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/11.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:15	130105/130105	---M--	200	added ('OK')	image/jpeg	etag:%2262a08498-21ab6%22	https://templates.envytheme.com/sinmun/default/assets/img/12.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/12.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:15	164478/164478	---M--	200	added ('OK')	image/jpeg	etag:%2262a08498-2a48f%22	https://templates.envytheme.com/sinmun/default/assets/img/13.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/13.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:16	138556/138556	---M--	200	added ('OK')	image/jpeg	etag:%2262a08499-22fb3%22	https://templates.envytheme.com/sinmun/default/assets/img/14.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/14.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:16	159576/159576	---M--	200	added ('OK')	image/jpeg	etag:%2262a08499-292c4%22	https://templates.envytheme.com/sinmun/default/assets/img/15.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/15.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:16	130323/130323	---M--	200	added ('OK')	image/jpeg	etag:%2262a08499-2158c%22	https://templates.envytheme.com/sinmun/default/assets/img/16.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/16.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:16	195061/195061	---M--	200	added ('OK')	image/jpeg	etag:%2262a08499-3208e%22	https://templates.envytheme.com/sinmun/default/assets/img/17.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/17.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:17	9302/9302	---M--	200	added ('OK')	image/jpeg	etag:%2262a084a1-2456%22	https://templates.envytheme.com/sinmun/default/assets/img/small-2.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/small-2.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:17	10329/10329	---M--	200	added ('OK')	image/jpeg	etag:%2262a084a1-2859%22	https://templates.envytheme.com/sinmun/default/assets/img/small-4.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/small-4.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:18	8447/8447	---M--	200	added ('OK')	image/jpeg	etag:%2262a084a1-20ff%22	https://templates.envytheme.com/sinmun/default/assets/img/small-3.jpg	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/sinmun/default/assets/img/small-3.jpg	(from https://templates.envytheme.com/sinmun/default/index-7.html)
14:12:18	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226419a395-4d7%22	https://templates.envytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/Personal/neosoft-office-learning/themes/sinmus/sinmus/templates.envytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://templates.envytheme.com/sinmun/default/index-7.html)
