date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:41	292677/292677	---M-Z	200	added ('OK')	text/html	etag:%2247745-5ef3be48976eb-gzip%22	https://themesbrand.com/velzon/html/galaxy/index.html	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/index.html	(from )
17:01:42	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
17:01:43	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5e9a11b0f8cfd-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/libs/jsvectormap/css/jsvectormap.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:43	113853/113853	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221bcbd-5e9a11b0839f9%22	https://themesbrand.com/velzon/html/galaxy/assets/images/favicon.ico	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/images/favicon.ico	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:43	16470/16470	---M-Z	200	added ('OK')	text/css	etag:%224056-5ef3be488abcb-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/libs/swiper/swiper-bundle.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/libs/swiper/swiper-bundle.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:44	1243/1243	---M-Z	200	added ('OK')	application/javascript	etag:%224db-5ef3be485312a-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/js/layout.js	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/js/layout.js	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:45	241882/241882	---M-Z	200	added ('OK')	text/css	etag:%223b0da-5ef3be48475aa-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/css/bootstrap.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/css/bootstrap.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:45	556862/556862	---MCZ	200	added ('OK')	text/css	etag:%2287f3e-5e9a11b05c8f7-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/css/icons.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/css/icons.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:45	347461/347461	---M-Z	200	added ('OK')	text/css	etag:%2254d45-5f16da0900751-gzip%22	https://themesbrand.com/velzon/html/galaxy/assets/css/app.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/css/app.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
17:01:45	44/44	---M--	200	added ('OK')	text/css	etag:%222c-5e9a11b05a9b7%22	https://themesbrand.com/velzon/html/galaxy/assets/css/custom.min.css	D:/neosoft-office-learning/themes/velzone/Velzon/themesbrand.com/velzon/html/galaxy/assets/css/custom.min.css	(from https://themesbrand.com/velzon/html/galaxy/index.html)
