date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:14	306646/306646	---M--	200	added ('OK')	text/html	etag:%2297bb9a-4add6-5cd6cebf56594%22	https://portotheme.com/html/wolmart/demo2.html	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/demo2.html	(from )
14:38:14	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2009:08:14%20GMT	https://portotheme.com/robots.txt		(from )
14:38:14	4687/4687	---M--	200	added ('OK')	image/png	etag:%2297b46c-124f-5cd6cebee39a7%22	https://portotheme.com/html/wolmart/assets/images/icons/favicon.png	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/images/icons/favicon.png	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:15	13221/13221	---M--	200	added ('OK')	application/javascript	etag:%2297bb51-33a5-5cd6cebf4e4ac%22	https://portotheme.com/html/wolmart/assets/js/webfont.js	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/js/webfont.js	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:15	13552/13552	---M--	200	added ('OK')	font/woff2	etag:%2297b3fa-34f0-5cd6cebedc08f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:16	74256/74256	---M--	200	added ('OK')	font/woff2	etag:%2297b3fe-12210-5cd6cebedc85f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:16	74768/74768	---M--	200	added ('OK')	font/woff2	etag:%2297b3f9-12410-5cd6cebedc08f%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:16	68172/68172	---M--	200	added ('OK')	font/woff	etag:%2297b263-10a4c-5cd6cebea8470%22	https://portotheme.com/html/wolmart/assets/fonts/wolmart.woff?png09e	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/fonts/wolmart87d5.woff	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:17	55111/55111	---M--	200	added ('OK')	text/css	etag:%2297b3f2-d747-5cd6cebedb4d7%22	https://portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/fontawesome-free/css/all.min.css	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:17	13871/13871	---M--	200	added ('OK')	text/css	etag:%2297b435-362f-5cd6cebedff0f%22	https://portotheme.com/html/wolmart/assets/vendor/swiper/swiper-bundle.min.css	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/swiper/swiper-bundle.min.css	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:17	57987/57987	---M--	200	added ('OK')	text/css	etag:%2297b407-e283-5cd6cebedd7ff%22	https://portotheme.com/html/wolmart/assets/vendor/animate/animate.min.css	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/animate/animate.min.css	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:17	5724/5724	---M--	200	added ('OK')	text/css	etag:%2297b420-165c-5cd6cebedef6f%22	https://portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/vendor/magnific-popup/magnific-popup.min.css	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:18	1266/1266	---M--	200	added ('OK')	image/png	etag:%2297b56d-4f2-5cd6cebef27ee%22	https://portotheme.com/html/wolmart/assets/images/flags/eng.png	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/images/flags/eng.png	(from https://portotheme.com/html/wolmart/demo2.html)
14:38:18	342823/342823	---M--	200	added ('OK')	text/css	etag:%2297b273-53b27-5cd6cebeaf9a0%22	https://portotheme.com/html/wolmart/assets/css/demo2.min.css	D:/neosoft-office-learning/themes/wallmart/WallMart/portotheme.com/html/wolmart/assets/css/demo2.min.css	(from https://portotheme.com/html/wolmart/demo2.html)
